ID_Uzorka,GPS_LAT,GPS_LONG,Dubina_Busenja_cm,Temp_Tla_C,pH_Vrijednost,H2O_Postotak,Metan_Senzor,Organske_Molekule
72,18.477965,77.404073,7.4,-26.8,6.99,5.43,Negativno,Ne
73,18.480217,77.395456,2.0,-61.3,6.87,4.99,Negativno,Ne
74,18.47851,77.376809,4.1,-36.2,7.57,5.81,Negativno,Ne
75,18.492309,77.376341,13.2,-51.7,7.49,3.32,Negativno,Ne
76,18.484517,77.382948,13.7,-46.4,7.06,2.76,Negativno,Da
77,18.468474,77.390901,3.0,-36.4,6.73,1.23,Negativno,Da
78,18.482908,77.39812,4.4,-74.2,6.36,0.8,Negativno,Ne
79,18.471715,77.368953,6.0,-40.5,6.77,3.31,Pozitivno,Ne
80,18.477263,77.394521,14.8,-58.9,6.11,1.33,Negativno,Ne
81,18.476789,77.388229,14.9,-62.2,6.67,2.15,Pozitivno,Ne
82,18.482112,77.400036,6.3,-65.9,7.19,4.49,Negativno,Ne
83,18.474762,77.393185,1.5,-70.5,6.38,0.29,Negativno,Ne
84,18.483113,77.391934,6.2,-70.4,5.56,0.11,Negativno,Ne
85,18.47233,77.39304,14.8,-38.4,7.24,1.33,Negativno,Ne
86,18.481278,77.388312,5.1,-63.6,6.31,1.04,Negativno,Ne
87,18.480582,77.373928,5.7,-44.1,7.22,5.12,Negativno,Ne
88,18.484253,77.402448,1.7,-65.9,7.43,2.78,Negativno,Ne
89,18.481667,77.367999,4.8,-41.1,7.52,4.68,Pozitivno,Ne
90,18.479205,77.397007,8.4,-49.3,6.45,4.77,Pozitivno,Ne
91,18.480885,77.390846,1.0,-16.8,6.96,4.68,Negativno,Ne
92,18.474716,77.407545,5.1,-15.6,5.94,3.53,Negativno,Ne
93,18.486719,77.381784,7.8,-34.3,7.12,2.83,Negativno,Ne
94,18.47355,77.379028,2.0,-74.5,6.37,3.97,Negativno,Ne
95,18.482242,77.39052,7.7,-51.6,7.63,5.58,Negativno,Ne
96,18.494998,77.389351,14.6,-51.6,6.86,5.97,Negativno,Ne
97,18.479314,77.39001,14.4,-29.9,7.0,1.73,Negativno,Ne
98,18.483404,77.400041,12.7,-52.5,7.7,2.62,Negativno,Ne
99,18.486329,77.384592,14.7,-37.5,6.42,4.46,Negativno,Ne
100,18.477651,77.390581,9.6,-37.1,7.07,4.78,Pozitivno,Ne
101,18.48073,77.391701,11.7,-35.9,6.24,2.78,Pozitivno,Ne
102,18.455289,77.393297,7.4,-39.3,6.79,3.1,Negativno,Ne
103,18.479157,77.392373,8.3,-39.1,6.29,3.42,Negativno,Ne
104,18.467281,77.382658,12.8,-50.6,6.52,4.16,Negativno,Ne
105,18.482956,77.391736,10.0,-48.6,6.81,1.09,Negativno,Ne
106,18.477036,77.390122,6.7,-55.8,6.33,2.72,Negativno,Ne
107,18.47728,77.404211,2.3,-59.0,7.43,2.96,Negativno,Ne
108,18.469306,77.394582,0.9,-54.6,7.12,4.6,Negativno,Ne
109,18.491811,77.391186,13.5,-30.3,6.66,4.27,Pozitivno,Ne
110,18.488761,77.395083,5.1,-70.3,6.3,4.53,Negativno,Ne
111,18.474001,77.389861,14.2,-74.1,7.11,3.74,Negativno,Ne
112,18.48049,77.403736,3.8,-32.7,6.46,5.98,Negativno,Ne
113,18.488644,77.397358,7.6,-39.4,7.04,4.42,Negativno,Ne
114,18.479663,77.390488,11.0,-49.3,6.93,2.3,Negativno,Ne
115,18.47831,77.37739,0.8,-52.6,6.63,2.19,Negativno,Ne
116,18.482991,77.38619,0.8,-37.4,6.35,1.57,Negativno,Ne
117,18.468857,77.378197,13.7,-39.0,7.77,1.42,Pozitivno,Ne
118,18.481823,77.382089,6.7,-40.9,6.6,2.6,Negativno,Ne
119,18.498139,77.396052,5.6,-45.1,7.54,0.56,Negativno,Ne
120,18.462969,77.381842,10.5,-42.0,7.51,5.68,Negativno,Ne
121,18.471192,77.381739,8.3,-39.9,6.45,3.93,Negativno,Ne
122,18.489364,77.392086,6.0,-80.8,6.28,5.23,Negativno,Ne
123,18.490408,77.406889,0.8,-60.2,7.88,4.4,Negativno,Ne
124,18.472358,77.400311,6.9,-46.0,6.42,1.0,Negativno,Ne
125,18.468025,77.379523,5.3,-45.9,6.85,1.38,Negativno,Ne
126,18.487515,77.410041,14.9,-75.7,7.28,4.65,Negativno,Ne
127,18.480617,77.390721,14.8,-59.3,6.16,4.64,Negativno,Ne
128,18.483175,77.397088,3.5,-46.9,6.54,0.38,Negativno,Ne
129,18.478654,77.400027,10.4,-37.9,7.42,4.83,Negativno,Ne
130,18.481526,77.383298,12.3,-30.0,7.56,3.12,Negativno,Ne
131,18.480139,77.396613,15.0,-63.8,7.31,3.79,Negativno,Ne
132,18.472594,77.398934,8.0,-60.8,7.9,4.24,Negativno,Ne
133,18.483771,77.392438,4.6,-49.5,7.33,1.03,Negativno,Ne
134,18.486532,77.392671,8.1,-44.7,6.57,5.94,Pozitivno,Ne
135,18.478315,77.397938,11.7,-20.9,7.22,1.66,Negativno,Ne
136,18.483422,77.386804,2.7,-67.4,7.21,3.25,Negativno,Ne
137,18.48026,77.409469,13.8,-57.3,6.95,2.18,Negativno,Ne
138,18.485744,77.371323,4.0,-20.3,7.19,5.67,Negativno,Ne
139,18.490781,77.387268,14.3,-60.1,7.27,3.59,Negativno,Ne
140,18.496561,77.395603,2.0,-48.9,6.99,0.28,Negativno,Ne
141,18.501976,77.388506,1.6,-48.8,6.78,2.95,Negativno,Ne
142,18.474671,77.402196,10.8,-41.9,6.79,1.81,Negativno,Da
143,18.486247,77.37414,7.7,-43.2,7.45,0.78,Pozitivno,Ne
144,18.484323,77.394719,10.5,-51.5,7.4,2.69,Negativno,Ne
145,18.469241,77.373422,12.6,-81.3,6.58,4.58,Negativno,Ne
146,18.466982,77.390948,0.2,-45.7,6.49,2.8,Negativno,Ne
147,18.499444,77.39378,8.3,-53.3,7.05,2.3,Negativno,Ne
148,18.470262,77.385708,10.7,-7.7,7.44,6.290217924749077,Pozitivno,Da
149,18.4806,77.392185,7.2,-48.8,7.55,3.25,Negativno,Ne
150,18.487896,77.392499,5.3,-63.1,7.17,4.52,Negativno,Ne
151,18.479235,77.387113,4.1,-56.6,7.34,1.11,Negativno,Ne
152,18.464739,77.390061,7.2,-69.4,6.94,5.64,Negativno,Ne
153,18.468153,77.386757,5.1,-18.3,7.15,9.400217924749075,Pozitivno,Da
154,18.47831,77.370928,0.8,-69.5,7.78,0.5,Negativno,Ne
155,18.466997,77.382155,14.7,-85.8,7.14,4.83,Negativno,Ne
156,18.483253,77.375863,12.9,-21.5,7.69,2.0,Negativno,Ne
157,18.476951,77.384373,11.7,-29.2,5.76,1.32,Negativno,Ne
158,18.489974,77.396003,7.6,-40.5,7.17,4.32,Negativno,Ne
159,18.479624,77.372121,9.2,-23.6,7.28,4.14,Negativno,Ne
160,18.49336,77.391485,8.7,-47.6,6.8,2.96,Negativno,Ne
161,18.486598,77.385459,13.4,-49.3,7.64,3.65,Negativno,Ne
162,18.479042,77.389053,8.8,-57.0,7.28,1.41,Negativno,Ne
163,18.48337,77.384453,13.0,-38.9,7.38,4.25,Negativno,Ne
164,18.472141,77.382452,4.4,-56.3,7.37,1.84,Negativno,Ne
165,18.485271,77.391396,13.9,-48.0,7.51,5.92,Negativno,Ne
166,18.485896,77.376626,12.7,-55.1,6.79,0.14,Negativno,Ne
167,18.477969,77.386834,11.1,-61.0,6.62,3.84,Pozitivno,Ne
168,18.493716,77.389359,14.0,-85.3,7.18,0.25,Negativno,Ne
169,18.479365,77.393854,0.2,-42.7,7.27,5.6,Negativno,Ne
170,18.479623,77.388628,13.3,-54.8,6.96,5.14,Negativno,Ne
171,18.481411,77.382677,2.6,-53.2,7.23,4.54,Negativno,Ne
172,18.49925,77.385938,14.5,-61.7,6.73,4.91,Negativno,Da
173,18.501434,77.385243,0.7,-69.1,8.09,0.54,Negativno,Ne
174,18.481675,77.383686,10.3,-60.8,6.56,3.61,Negativno,Ne
175,18.485275,77.401861,7.0,-36.6,7.22,3.27,Negativno,Ne
176,18.478914,77.381593,10.4,-69.4,7.06,1.55,Negativno,Ne
177,18.487543,77.399509,0.2,-55.8,6.48,0.38,Negativno,Ne
178,18.486077,77.383094,1.0,-51.3,7.01,5.23,Pozitivno,Ne
179,18.487381,77.396715,3.3,-26.8,7.71,4.56,Negativno,Ne
180,18.483225,77.393324,7.2,-25.7,6.07,0.62,Negativno,Ne
181,18.484008,77.395109,6.2,-68.2,6.19,5.61,Negativno,Ne
182,18.480227,77.375762,11.0,-60.3,6.8,1.58,Negativno,Ne
183,18.477842,77.394236,0.4,-34.3,7.79,2.19,Negativno,Ne
184,18.484133,77.394538,3.0,-62.6,6.26,3.75,Negativno,Ne
185,18.482668,77.389703,11.4,-27.6,6.16,4.48,Negativno,Ne
186,18.469793,77.384704,5.0,-8.2,7.09,6.150217924749077,Pozitivno,Da
187,18.481974,77.384997,1.1,-31.5,7.02,1.08,Negativno,Da
188,18.481486,77.379729,12.6,-36.1,7.34,5.44,Negativno,Da
189,18.4837,77.397834,1.3,-64.9,6.56,5.51,Negativno,Ne
190,18.482803,77.388337,8.8,-47.3,7.45,2.88,Negativno,Ne
191,18.458373,77.392284,1.1,-25.4,7.68,2.81,Negativno,Ne
192,18.490015,77.384921,2.0,-64.5,7.2,2.92,Negativno,Ne
193,18.466383,77.400462,0.4,-59.7,7.38,4.66,Negativno,Ne
194,18.492478,77.396199,10.1,-61.0,7.96,0.59,Negativno,Ne
195,18.476872,77.385627,13.3,-41.8,6.93,4.06,Negativno,Ne
196,18.487964,77.387349,12.2,-51.1,7.47,3.77,Negativno,Ne
197,18.474021,77.387424,4.9,-46.2,6.54,0.22,Negativno,Ne
198,18.492707,77.390696,3.5,-39.5,7.16,5.44,Negativno,Ne
199,18.487891,77.393279,8.2,-52.4,6.85,2.21,Negativno,Ne
200,18.491777,77.396077,14.9,-31.6,6.99,2.82,Negativno,Ne
201,18.482921,77.386451,5.4,-81.9,7.08,1.45,Negativno,Ne
202,18.490308,77.382565,4.6,-91.6,7.83,1.14,Negativno,Ne
203,18.471221,77.394228,11.2,-63.1,6.67,5.49,Negativno,Ne
204,18.482136,77.394572,7.6,-56.3,7.38,1.9,Pozitivno,Ne
205,18.498065,77.397289,2.9,-45.8,6.87,2.86,Pozitivno,Ne
206,18.474679,77.385435,12.1,-53.0,6.44,0.49,Negativno,Ne
207,18.473857,77.389753,10.2,-13.1,7.01,4.27,Negativno,Ne
208,18.47121,77.393744,3.8,-52.4,7.85,2.14,Negativno,Da
209,18.504035,77.398276,8.5,-39.9,7.1,5.33,Pozitivno,Da
210,18.476941,77.387597,8.1,-54.4,7.49,2.27,Negativno,Ne
211,18.469878,77.414563,12.8,-52.5,6.18,2.77,Negativno,Ne
212,18.496278,77.386729,6.2,-45.1,7.34,4.58,Negativno,Ne
213,18.470135,77.385295,3.8,-6.3,5.75,6.330217924749077,Pozitivno,Da
214,18.467521,77.407333,7.6,-40.7,6.67,0.32,Negativno,Ne
215,18.494807,77.382425,9.3,-58.2,7.76,2.38,Negativno,Ne
216,18.490723,77.391862,14.0,-55.7,7.04,4.12,Negativno,Da
217,18.500494,77.406927,14.4,-38.8,7.73,3.79,Negativno,Ne
218,18.485975,77.400823,11.5,-55.9,7.13,4.43,Pozitivno,Ne
219,18.473141,77.380845,13.8,-58.2,7.26,1.86,Negativno,Da
220,18.486655,77.406521,13.0,-57.1,7.04,3.16,Negativno,Da
221,18.469714,77.400649,3.5,-39.3,7.57,4.36,Negativno,Ne
222,18.484495,77.380955,7.5,-6.9,7.09,6.901932953487156,Pozitivno,Da
223,18.481421,77.378769,1.7,-52.4,7.43,2.65,Negativno,Ne
224,18.479019,77.394755,6.4,-48.9,7.08,0.45,Negativno,Ne
225,18.465916,77.370468,9.3,-42.5,6.5,4.79,Negativno,Ne
226,18.479777,77.38417,7.8,-36.1,7.04,2.67,Negativno,Ne
228,18.504837,77.371014,10.0,-43.1,6.6,3.8,Negativno,Ne
229,18.487372,77.39952,11.5,-79.3,6.82,1.33,Negativno,Ne
230,18.486558,77.390026,0.8,-62.7,6.85,0.63,Negativno,Ne
231,18.487072,77.395002,9.8,-53.3,7.32,2.79,Negativno,Ne
232,18.485054,77.3864,13.4,-11.2,7.35,5.949367678412054,Pozitivno,Da
233,18.483559,77.377833,5.1,-34.3,7.42,3.31,Negativno,Ne
234,18.480719,77.388658,2.7,-25.3,6.89,4.46,Negativno,Ne
235,18.46623,77.387473,7.9,-21.8,7.07,4.51,Pozitivno,Ne
236,18.486766,77.375222,13.2,-69.4,7.7,1.31,Negativno,Ne
237,18.487551,77.400645,10.6,-42.0,7.6,0.49,Negativno,Ne
238,18.485546,77.396778,2.0,-50.6,6.8,4.99,Pozitivno,Ne
239,18.477673,77.376455,10.7,-40.1,7.41,4.28,Negativno,Ne
240,18.492556,77.384418,4.2,-18.2,7.12,3.45,Negativno,Ne
241,18.477083,77.402694,10.7,-60.3,6.34,5.23,Negativno,Ne
242,18.492413,77.394125,11.0,-50.3,6.95,4.21,Negativno,Ne
243,18.477667,77.39454,2.0,-44.8,6.67,2.55,Negativno,Ne
244,18.474197,77.392484,3.1,-33.8,7.41,1.08,Negativno,Ne
245,18.493726,77.374516,12.4,-37.4,6.86,1.37,Negativno,Ne
246,18.472012,77.392258,7.4,-52.1,7.13,0.86,Negativno,Ne
247,18.483555,77.395652,6.6,-66.6,7.37,4.95,Negativno,Ne
248,18.487656,77.399621,3.9,-58.3,6.75,5.33,Negativno,Ne
249,18.492945,77.384518,10.2,-60.7,6.71,3.24,Negativno,Ne
250,18.476115,77.396442,13.2,-30.5,7.37,0.59,Negativno,Ne
251,18.482553,77.394221,6.1,-43.6,6.85,5.26,Pozitivno,Ne
252,18.472982,77.381262,0.6,-46.3,7.5,2.68,Negativno,Da
253,18.478912,77.383631,4.6,-40.5,7.63,4.87,Negativno,Ne
254,18.480871,77.396636,2.2,-53.5,7.3,3.28,Negativno,Ne
255,18.484042,77.395256,7.9,-48.6,7.69,0.46,Pozitivno,Ne
256,18.475337,77.391788,5.5,-68.8,7.43,5.93,Negativno,Ne
257,18.477462,77.377084,1.7,-38.6,7.13,5.67,Negativno,Ne
258,18.489174,77.372012,9.5,-43.3,7.91,1.07,Pozitivno,Ne
259,18.476159,77.38098,12.2,-57.1,7.66,3.83,Pozitivno,Ne
260,18.4705,77.401586,9.4,-18.9,7.33,1.02,Negativno,Ne
261,18.47317,77.383483,14.7,-63.7,6.83,2.26,Negativno,Ne
262,18.511994,77.403533,13.5,-65.8,6.41,2.54,Negativno,Ne
263,18.478784,77.380926,7.2,-36.4,7.84,4.96,Negativno,Ne
264,18.466905,77.386442,7.4,-38.3,6.68,2.9,Negativno,Ne
265,18.488848,77.399526,14.8,-24.0,8.37,4.31,Pozitivno,Ne
266,18.478442,77.395893,11.7,-57.8,6.74,1.39,Negativno,Ne
268,18.470653,77.36742,12.8,-39.1,6.08,0.44,Negativno,Ne
269,18.482067,77.403309,4.9,-42.0,7.84,1.47,Negativno,Ne
270,18.452158,77.401736,9.0,-33.6,7.23,3.53,Pozitivno,Ne
271,18.466366,77.377934,12.2,-64.8,7.14,3.33,Negativno,Ne
272,18.488579,77.384164,7.1,-89.5,6.67,1.1,Negativno,Ne
273,18.47622,77.372711,9.9,-54.8,7.0,5.95,Negativno,Ne
274,18.507926,77.400851,3.3,-54.4,6.52,0.4,Negativno,Ne
275,18.482489,77.402736,3.8,-50.1,7.75,5.87,Negativno,Ne
276,18.471082,77.40478,9.4,-27.4,6.55,1.72,Negativno,Ne
277,18.474462,77.39449,1.2,-35.6,6.39,2.95,Negativno,Ne
278,18.475859,77.39042,7.1,-59.4,8.78,3.38,Negativno,Da
279,18.469351,77.401596,8.1,-44.4,7.84,5.28,Negativno,Ne
280,18.481319,77.380122,14.9,-51.9,6.55,1.48,Negativno,Ne
281,18.482753,77.386919,7.7,-62.5,7.62,3.15,Negativno,Da
282,18.482064,77.39186,3.4,-55.1,6.72,4.96,Pozitivno,Ne
283,18.481025,77.405888,14.9,-27.1,6.75,4.36,Negativno,Ne
284,18.491409,77.389092,5.0,-29.4,7.26,2.04,Negativno,Ne
285,18.485973,77.375932,6.2,-53.7,6.53,1.67,Negativno,Ne
286,18.488989,77.373979,2.3,-64.7,7.39,1.76,Negativno,Ne
287,18.492077,77.396177,5.8,-45.2,7.83,0.53,Negativno,Ne
288,18.47014,77.384998,5.2,-11.0,7.08,4.740217924749077,Pozitivno,Da
289,18.480581,77.393929,4.0,-14.6,6.0,0.92,Negativno,Ne
290,18.47594,77.38877,3.9,-52.0,7.17,1.14,Negativno,Ne
291,18.490312,77.397243,4.0,-61.5,6.44,5.69,Negativno,Ne
292,18.481487,77.39404,13.6,-57.3,6.9,2.45,Negativno,Ne
293,18.502832,77.374847,1.3,-36.1,7.35,0.3,Negativno,Ne
294,18.477519,77.395295,7.3,-23.7,7.04,0.38,Negativno,Ne
295,18.469026,77.391349,6.2,-49.0,6.84,3.19,Negativno,Ne
296,18.49595,77.372444,6.8,-55.5,7.23,3.44,Pozitivno,Ne
297,18.484823,77.385697,11.7,-6.4,7.67,5.789367678412054,Pozitivno,Da
298,18.495926,77.373252,1.8,-62.7,7.44,3.59,Negativno,Ne
299,18.453607,77.384968,4.0,-44.5,6.78,2.73,Negativno,Ne
300,18.491448,77.377423,7.2,-18.6,7.55,1.79,Negativno,Ne
301,18.472384,77.372663,6.3,-58.2,7.67,0.32,Pozitivno,Ne
302,18.484133,77.379646,5.3,-7.1,6.96,5.861932953487157,Pozitivno,Da
303,18.495345,77.398268,11.7,-58.5,6.29,0.68,Negativno,Ne
304,18.466447,77.377466,11.3,-58.4,6.46,1.95,Negativno,Da
305,18.485571,77.380187,14.2,-9.8,7.11,7.761932953487157,Pozitivno,Da
306,18.478839,77.40657,6.3,-44.3,7.11,3.14,Negativno,Ne
307,18.477031,77.383558,10.5,-49.0,6.86,2.77,Negativno,Ne
308,18.468349,77.392484,6.1,-45.1,7.09,2.56,Negativno,Ne
309,18.479713,77.380424,1.5,-37.0,7.59,5.05,Negativno,Ne
310,18.494036,77.392719,7.1,-44.9,7.41,0.57,Pozitivno,Ne
311,18.466033,77.405792,5.1,-57.0,7.02,0.39,Pozitivno,Ne
312,18.47211,77.389076,14.2,-57.3,6.86,1.84,Pozitivno,Ne
313,18.488194,77.389989,10.2,-54.0,7.01,5.2,Pozitivno,Ne
314,18.481928,77.399631,12.7,-47.6,7.34,1.35,Negativno,Ne
315,18.499467,77.408689,12.1,-61.5,6.48,0.57,Pozitivno,Ne
316,18.488498,77.409786,14.1,-67.0,6.93,4.11,Negativno,Da
317,18.481661,77.399093,13.8,-32.5,6.93,4.27,Negativno,Ne
318,18.493006,77.38198,12.0,-57.0,6.56,2.32,Negativno,Ne
319,18.479783,77.380777,6.5,-48.6,7.57,4.75,Negativno,Ne
320,18.479239,77.404629,3.9,-47.0,7.27,5.95,Negativno,Ne
321,18.494379,77.389301,6.8,-59.3,7.26,1.82,Pozitivno,Ne
322,18.482269,77.396635,10.0,-57.8,6.98,5.88,Negativno,Ne
323,18.471494,77.400316,2.3,-50.7,7.33,4.97,Negativno,Ne
324,18.471707,77.391328,12.4,-48.2,7.21,3.84,Negativno,Ne
325,18.468103,77.383331,12.3,-21.0,6.99,5.12,Negativno,Ne
326,18.472592,77.391991,9.5,-87.1,6.78,5.03,Negativno,Ne
327,18.474826,77.393541,10.4,-61.3,6.5,5.77,Negativno,Ne
328,18.47271,77.37982,3.7,-35.8,7.16,3.54,Negativno,Ne
329,18.477631,77.394962,6.4,-59.9,7.64,5.21,Negativno,Ne
330,18.468582,77.386711,7.7,-5.3,6.92,7.000217924749077,Pozitivno,Da
331,18.473478,77.390694,4.3,-52.4,6.87,3.8,Negativno,Ne
332,18.485934,77.386552,10.9,-17.0,6.11,4.639367678412054,Pozitivno,Da
333,18.469495,77.381964,2.4,-58.4,7.1,5.0,Negativno,Ne
334,18.481494,77.388342,11.8,-56.4,6.39,5.35,Negativno,Ne
335,18.464302,77.396711,2.9,-67.7,6.87,0.96,Pozitivno,Ne
336,18.482073,77.388661,12.8,-17.9,6.77,4.71,Negativno,Da
337,18.483935,77.381434,4.3,-45.8,6.5,2.11,Negativno,Da
338,18.472159,77.406221,11.5,-62.3,7.98,1.86,Negativno,Ne
339,18.463947,77.396472,0.9,-35.6,7.61,4.09,Negativno,Ne
340,18.481255,77.396059,8.5,-69.6,7.56,2.23,Negativno,Ne
341,18.46873,77.390589,3.4,-35.6,7.03,0.51,Negativno,Ne
342,18.484137,77.377971,10.3,-16.1,7.41,10.021932953487156,Pozitivno,Da
343,18.489299,77.410441,4.3,-72.2,8.24,3.27,Pozitivno,Ne
344,18.467408,77.393599,13.0,-49.6,6.72,4.37,Negativno,Ne
345,18.467858,77.376067,5.6,-46.3,7.2,3.24,Negativno,Ne
346,18.483853,77.40204,2.8,-63.8,6.58,3.64,Negativno,Ne
347,18.470684,77.387601,4.9,-45.7,7.76,1.73,Negativno,Ne
348,18.488647,77.381074,2.2,-40.8,7.7,2.02,Negativno,Da
349,18.49851,77.407116,12.0,-70.7,6.65,5.82,Negativno,Ne
350,18.485767,77.395037,12.8,-50.7,6.23,0.82,Negativno,Ne
351,18.483888,77.392649,14.0,-74.3,7.72,2.68,Negativno,Ne
352,18.467415,77.392031,5.0,-52.1,7.3,2.27,Negativno,Ne
353,18.476475,77.391517,13.3,-47.5,6.55,2.72,Negativno,Ne
354,18.492042,77.38758,2.0,-62.9,7.61,0.37,Negativno,Ne
355,18.475528,77.410168,4.8,-39.8,6.5,5.89,Negativno,Ne
356,18.493203,77.391284,7.7,-46.0,7.86,0.47,Negativno,Ne
357,18.487969,77.389006,11.9,-61.1,7.07,1.56,Negativno,Ne
358,18.483221,77.384959,6.9,-34.5,7.25,0.87,Negativno,Ne
359,18.479959,77.400475,3.7,-53.2,6.58,1.92,Negativno,Ne
360,18.483984,77.404554,10.2,-42.1,6.23,0.75,Negativno,Ne
361,18.483887,77.395167,8.6,-46.9,8.03,2.37,Negativno,Ne
